Algoritmo,Tamaño,Tiempo(ms)
Naiv,128,31.2893
LoopUnrollingTwo,128,17.6674
LoopUnrollingFour,128,14.7136
WinogradOriginal,128,12.7182
WinogradScaled,128,18.293
SequentialBlock,128,23.6871
ParallelBlock,128,42.3093
IV_3_SequentialBlock,128,23.8482
IV_4_ParallelBlock,128,35.5179
IV_5_EnhancedParallelBlock,128,5.1464
Naiv,128,34.4796
LoopUnrollingTwo,128,21.3051
LoopUnrollingFour,128,32.2217
WinogradOriginal,128,28.413
WinogradScaled,128,12.6055
SequentialBlock,128,22.8341
ParallelBlock,128,41.0738
IV_3_SequentialBlock,128,18.9306
IV_4_ParallelBlock,128,35.7286
IV_5_EnhancedParallelBlock,128,4.3799
Naiv,128,15.7013
LoopUnrollingTwo,128,22.7229
LoopUnrollingFour,128,22.6262
WinogradOriginal,128,21.7121
WinogradScaled,128,20.2081
SequentialBlock,128,24.4273
ParallelBlock,128,50.4932
IV_3_SequentialBlock,128,20.3157
IV_4_ParallelBlock,128,38.7968
IV_5_EnhancedParallelBlock,128,4.8007
Naiv,4,0.0162
LoopUnrollingTwo,4,0.0043
LoopUnrollingFour,4,0.0035
WinogradOriginal,4,0.017
WinogradScaled,4,0.0069
SequentialBlock,4,0.0042
ParallelBlock,4,8.8323
IV_3_SequentialBlock,4,0.0072
IV_4_ParallelBlock,4,2.1253
IV_5_EnhancedParallelBlock,4,1.5055
Naiv,4,0.034
LoopUnrollingTwo,4,0.0045
LoopUnrollingFour,4,0.0052
WinogradOriginal,4,0.0245
WinogradScaled,4,0.0053
SequentialBlock,4,0.0054
ParallelBlock,4,1.9119
IV_3_SequentialBlock,4,0.0079
IV_4_ParallelBlock,4,0.2387
IV_5_EnhancedParallelBlock,4,1.0731
